transaction_time,transaction_amount,avg_transaction_30d,transaction_frequency_10min,current_location,previous_location,account_balance,transaction_type,account_age_days,failed_login_attempts,login_hour,transactions_today,risk_score,fraud_label
00:19,257350.8,8726,5,Patna,Pune,461800.68,Withdrawal,1076,3,0,24,100,Fraud
07:44,6497.26,8071,1,Chandigarh,Chandigarh,111991.44,Withdrawal,929,1,7,5,5,Normal
00:20,571517.63,17900,7,Karwar,Bengaluru,1154067.53,Transfer,433,6,0,16,100,Fraud
07:21,22261.74,19912,1,Belagavi,Belagavi,524615.79,Transfer,817,0,7,1,8,Normal
16:14,24699.35,24748,1,Bagalkot,Bagalkot,341190.07,Transfer,381,0,16,3,8,Normal
01:52,128277.15,12527,10,Delhi,Belagavi,110195.73,Transfer,188,7,1,20,100,Fraud
02:48,585832.26,17276,9,Chennai,Pune,1100622.92,Transfer,923,4,2,15,100,Fraud
03:07,311921.87,12305,11,Pune,Bellary,767076.91,Transfer,1103,4,3,10,100,Fraud
21:55,4768.37,5047,3,Bidar,Bidar,140422.42,Withdrawal,237,1,21,3,5,Normal
17:20,20201.92,16666,3,Mumbai,Mumbai,401012.54,Deposit,830,0,17,5,0,Normal
11:18,16288.12,14374,1,Manipal,Manipal,204902.06,Transfer,933,0,11,3,8,Normal
02:50,74047.19,3645,11,Mysuru,Shimoga,155489.37,Transfer,714,5,2,23,100,Fraud
04:07,187307.85,21563,6,Vijayapura,Hubballi,245716.79,Transfer,1055,7,4,24,100,Fraud
21:22,10181.29,8806,1,Delhi,Delhi,84119.58,Transfer,1191,1,21,5,8,Normal
20:58,25899.84,20752,3,Bidar,Bidar,423554.28,Withdrawal,1026,1,20,4,5,Normal
23:32,187933.91,21478,9,Dharwad,Vijayapura,373938.7,Transfer,642,6,23,16,91,Fraud
16:20,20412.36,16194,3,Patna,Patna,399226.21,Withdrawal,439,0,16,2,5,Normal
00:47,414013.56,17836,6,Bagalkot,Delhi,908863.08,Withdrawal,817,3,0,24,100,Fraud
13:57,27295.3,21792,3,Pune,Pune,444778.0,Deposit,19,1,13,4,15,Normal
21:52,12801.75,12454,3,Jaipur,Jaipur,184001.52,Deposit,441,0,21,2,0,Normal
14:29,19579.53,23824,2,Kolkata,Dharwad,491662.09,Withdrawal,222,1,14,4,20,Normal
11:58,15861.75,14235,2,Hubballi,Hubballi,149309.36,Withdrawal,1122,0,11,5,5,Normal
20:00,6071.54,6278,3,Bellary,Bellary,67535.27,Transfer,477,1,20,2,8,Normal
02:57,380182.64,24003,7,Bengaluru,Hyderabad,859642.61,Transfer,447,5,2,14,100,Fraud
01:04,176015.42,5375,7,Bellary,Mumbai,297848.86,Transfer,1160,7,1,8,100,Fraud
00:08,276584.59,9362,8,Patna,Hassan,714919.65,Withdrawal,1077,8,0,21,100,Fraud
03:27,403594.13,12218,5,Jaipur,Vijayapura,856926.96,Withdrawal,403,7,3,10,100,Fraud
16:46,16320.53,13647,1,Shimoga,Shimoga,408817.36,Transfer,1174,1,16,4,8,Normal
01:26,195357.0,15265,6,Dharwad,Kochi,259858.51,Transfer,608,2,1,21,100,Fraud
23:17,245471.21,8051,8,Mysuru,Bengaluru,320382.21,Transfer,144,3,23,22,100,Fraud
01:17,238448.22,7258,10,Lucknow,Kochi,368534.29,Withdrawal,116,6,1,20,100,Fraud
00:14,392227.37,12136,9,Chennai,Shimoga,912677.53,Transfer,585,2,0,11,100,Fraud
03:55,60638.09,2328,6,Hubballi,Vijayapura,148801.49,Transfer,1155,4,3,19,100,Fraud
00:15,234555.09,16245,5,Patna,Shimoga,342889.58,Transfer,125,3,0,12,100,Fraud
00:11,268539.64,15320,5,Chandigarh,Dharwad,415693.08,Transfer,35,2,0,9,91,Fraud
01:15,132378.64,4534,8,Patna,Hubballi,208891.15,Transfer,506,3,1,18,100,Fraud
12:56,6306.01,18556,3,Hyderabad,Hyderabad,338556.43,Deposit,1198,1,12,4,0,Normal
19:45,11306.06,11822,2,Bidar,Bidar,220125.04,Deposit,255,1,19,3,0,Normal
01:07,157313.27,12308,7,Kochi,Dharwad,133399.95,Transfer,698,6,1,19,100,Fraud
16:43,19463.32,21575,2,Chennai,Chennai,185934.47,Transfer,330,0,16,5,8,Normal
23:51,269167.1,14951,6,Chitradurga,Bengaluru,792392.43,Withdrawal,358,4,23,13,90,Fraud
15:56,16632.12,15188,1,Pune,Hubballi,425656.07,Transfer,628,1,15,2,23,Normal
01:21,647062.02,16261,9,Chennai,Chitradurga,1656633.35,Transfer,1004,8,1,24,100,Fraud
02:31,536234.56,19114,7,Belagavi,Bagalkot,1503465.15,Transfer,200,8,2,16,100,Fraud
03:27,663097.45,19127,11,Hyderabad,Chitradurga,1653934.69,Transfer,858,8,3,11,100,Fraud
13:30,21628.67,19381,3,Bidar,Bidar,163638.99,Withdrawal,645,1,13,2,5,Normal
22:22,9607.65,8671,3,Bagalkot,Bagalkot,171757.49,Transfer,1122,1,22,1,8,Normal
00:10,181579.39,13896,8,Karwar,Jaipur,344717.07,Transfer,17,7,0,15,100,Fraud
08:56,7706.71,5251,3,Karwar,Karwar,137311.37,Transfer,936,1,8,1,8,Normal
03:26,593807.6,20240,11,Gulbarga,Kolkata,1772895.87,Withdrawal,603,4,3,22,100,Fraud
02:22,319605.63,14831,10,Hubballi,Bidar,813229.78,Transfer,54,8,2,9,100,Fraud
20:31,1725.38,3101,1,Udupi,Udupi,46345.77,Transfer,298,0,20,3,8,Normal
01:26,264703.63,12718,11,Jaipur,Udupi,331753.17,Transfer,830,4,1,23,100,Fraud
00:28,207213.73,5430,6,Belagavi,Bidar,317938.61,Transfer,953,6,0,12,100,Fraud
01:29,545721.14,15334,5,Gulbarga,Hubballi,1599023.85,Withdrawal,252,3,1,12,100,Fraud
04:17,62167.83,3975,9,Belagavi,Bengaluru,89840.74,Transfer,792,6,4,16,100,Fraud
03:37,36879.67,3271,10,Vijayapura,Surat,52756.78,Transfer,587,6,3,19,100,Fraud
00:34,34358.44,2863,11,Kochi,Mysuru,69239.55,Transfer,636,3,0,14,100,Fraud
02:18,384636.06,19245,10,Chandigarh,Surat,618017.66,Withdrawal,716,6,2,8,100,Fraud
19:10,13771.0,16823,2,Karwar,Karwar,289020.29,Deposit,459,0,19,3,0,Normal
23:50,158599.28,5295,6,Mysuru,Bagalkot,460253.55,Transfer,874,7,23,18,100,Fraud
02:17,205592.8,16472,11,Kochi,Bellary,197118.28,Transfer,954,7,2,16,100,Fraud
04:12,218851.25,15652,11,Hyderabad,Kolkata,428719.82,Withdrawal,281,4,4,21,100,Fraud
01:42,102425.61,4141,11,Bidar,Hassan,254628.45,Withdrawal,1184,7,1,14,100,Fraud
17:05,16732.49,24501,3,Chitradurga,Chitradurga,726448.41,Deposit,202,1,17,3,0,Normal
10:04,11392.18,8639,3,Mysuru,Mysuru,190304.18,Withdrawal,481,1,10,1,5,Normal
02:16,56287.84,5252,5,Dharwad,Lucknow,93276.07,Transfer,534,7,2,10,100,Fraud
08:49,10424.04,16959,1,Shimoga,Shimoga,211974.42,Transfer,866,1,8,1,8,Normal
11:28,21030.91,20618,2,Mysuru,Mysuru,361438.63,Deposit,882,0,11,4,0,Normal
00:55,256692.34,20793,11,Noida,Lucknow,432284.14,Transfer,336,5,0,13,100,Fraud
22:13,24014.92,20629,1,Surat,Surat,280459.98,Deposit,506,0,22,5,0,Normal
17:57,27188.16,22992,3,Manipal,Patna,187775.65,Withdrawal,418,0,17,1,20,Normal
02:30,440601.28,19534,5,Manipal,Ahmedabad,856110.41,Transfer,258,2,2,11,100,Fraud
21:05,6344.08,6621,2,Bengaluru,Bengaluru,107313.54,Deposit,64,0,21,1,8,Normal
00:18,556441.41,16817,11,Belagavi,Raichur,1493566.4,Transfer,630,7,0,15,100,Fraud
00:20,240157.17,6929,10,Ahmedabad,Mumbai,605327.88,Transfer,190,6,0,17,100,Fraud
13:23,24823.63,22366,3,Hassan,Hassan,450417.27,Deposit,978,1,13,3,0,Normal
22:20,17225.91,22115,2,Hyderabad,Hyderabad,602805.97,Withdrawal,601,1,22,5,5,Normal
11:38,18456.55,17302,1,Jaipur,Jaipur,206128.19,Deposit,918,0,11,4,0,Normal
19:39,9856.91,7663,2,Bagalkot,Bagalkot,61646.77,Withdrawal,1109,0,19,1,5,Normal
13:59,12317.14,20749,3,Mumbai,Mumbai,368380.0,Deposit,807,1,13,4,0,Normal
03:03,791975.82,21256,8,Chandigarh,Bidar,2186360.47,Transfer,237,8,3,11,100,Fraud
18:31,15486.81,16441,3,Belagavi,Belagavi,193287.32,Transfer,873,1,18,3,8,Normal
12:43,3901.63,2870,3,Belagavi,Belagavi,41513.07,Transfer,809,0,12,1,8,Normal
19:09,11157.55,13382,3,Kolkata,Patna,379885.78,Withdrawal,1046,0,19,5,20,Normal
04:35,43219.49,3770,11,Mysuru,Hyderabad,83631.97,Withdrawal,645,6,4,21,100,Fraud
